st_abbrev,district,state_dist,party,total_receipt,total_disbursement,cash_on_hand_cop,debt_owed_by_committee,total_contribution,total_loan,offsets_to_operating_expenditure,other_receipts,operating_expenditure,total_loan_Repayment,total_contribution_refund,other_disbursements,net_contribution,net_operating_expenditure,cash_on_hand_bop,debt_owe_to_committee,Total_population,Male,Under_5_years,5_to_9_years,10_to_14_years,15_to_19_years,20_to_24_years,25_to_34_years,35_to_44_years,45_to_54_years,55_to_59_years,60_to_64_years,65_to_74_years,75_to_84_years,85_years_and_over,One_race,White,Black_or_African_American,American_Indian_and_Alaska_Native,Asian,Native_Hawaiian_and_Other_Pacific_Islander,Some_other_race,Hispanic_or_Latino_of_any_race,State_of_residence,Different_state1,Born_in_PR__US_Is_areas_or_abroad_to_US_parents,American,Arab,Czech,Danish,Dutch,English,French_except_Basque,French_Canadian,German,Greek,Hungarian,Irish,Italian,Lithuanian,Norwegian,Polish,Portuguese,Russian,ScotchIrish,Scottish,Slovak,Subsaharan_African,Swedish,Swiss,Ukrainian,Welsh,West_Indian_excluding_Hispanic_origin_groups,Civilian_veterans,Total_civilian_noninstitutionalized_population,With_a_disability1,Same_house,Same_county,Same_state,Abroad,Unemployed,Armed_Forces,Not_in_labor_force,Car__truck__or_van__drove_alone,Public_transportation_excluding_taxicab,Walked,Other_means,Worked_at_home,Mean_travel_time_to_work_minutes,Management__business__science__and_arts_occupations,Service_occupations,Sales_and_office_occupations,Natural_resources__construction__and_maintenance_occupations,Production__transportation__and_material_moving_occupations,Agriculture__forestry__fishing_and_hunting__and_mining,Construction1,Manufacturing1,Wholesale_trade1,Retail_trade1,Transportation_and_warehousing__and_utilities1,Information1,Finance_and_insurance__and_real_estate_and_rental_and_leasing,Prof__scientific__and_mngmnt__and_admin_and_waste_mngmnt_ser,Educational_services__and_health_care_and_social_assistance,Arts_Entmt_and_recreation_and_accommodation_and_food_services,Other_services__except_public_administration,Public_administration,Private_wage_and_salary_workers,Government_workers,Selfemployed_in_own_not_incorporated_business_workers,Unpaid_family_workers,Total_housing_units,Rental_vacancy_rate,Owneroccupied,Average_household_size_of_owneroccupied_unit,Average_household_size_of_renteroccupied_unit,Moved_in_2015_or_later,Moved_in_2010_to_2014,Moved_in_2000_to_2009,Moved_in_1990_to_1999,Moved_in_1980_to_1989,Moved_in_1979_and_earlier,Less_than_50_000,50_000_to_99_999,100_000_to_149_999a,150_000_to_199_999,200_000_to_299_999,300_000_to_499_999,500_000_to_999_999,1_000_000_or_more,Median_dollars1,Housing_units_with_a_mortgage,Median_dollars2,Median_dollars3,Occupied_units_paying_rent,Median_dollars4,No_rent_paid,Less_than_10_000,10_000_to_14_999,15_000_to_24_999,25_000_to_34_999,35_000_to_49_999,50_000_to_74_999,75_000_to_99_999,100_000_to_149_999b,150_000_to_199_000,200_000_or_more,With_private_health_insurance,With_public_coverage,No_health_insurance_coverage1,All_families,Less_than_9th_grade,9th_to_12th_grade__no_diploma,High_school_graduate_includes_equivalency,Some_college__no_degree,Associate_s_degree,Bachelor_s_degree,Graduate_or_professional_degree,Percent_high_school_graduate_or_higher,Percent_bachelor_s_degree_or_higher,Total_for_all_sectors2,Agriculture__forestry__fishing_and_hunting2,Mining__quarrying__and_oil_and_gas_extraction2,Utilities2,Construction3,Manufacturing3,Wholesale_trade3,Retail_trade3,Transportation_and_warehousing2,Information3,Finance_and_insurance2,Real_estate_and_rental_and_leasing2,Professional__scientific__and_technical_services2,Management_of_companies_and_enterprises2,Admin_and_support_and_waste_mngmt_and_remediation_services2,Educational_services2,Health_care_and_social_assistance2,Arts__entertainment__and_recreation2,Accommodation_and_food_services2,Other_services_except_public_administration2,Industries_not_classified2
MS,2,MS_02,DEM,887310,765455,1378800,0,886504,0,30.97,775.4,732884,0,6481,26090,880023,732853,1256940,0,701238,335597,43505,48681,53005,53911,51336,83052,88999,85832,45506,43442,63240,29541,11188,695831,213783,472556,2035,3162,18,4277,12020,595640,94845,1882,43874,2216,0,509,1062,24957,4350,305,11767,313,0,21095,5432,58,531,875,140,244,5728,4869,17,7783,1225,112,77,698,359,31063,683570,114846,601881,53953,23354,1212,26065,241,252255,222150,1139,4136,2491,5475,24.4,75962,55318,60990,25122,48619,6705,15631,33094,5738,31741,15216,3026,8849,19386,68152,26751,13001,18721,195234,55571,14898,308,312799,9.2,154815,2.62,2.66,59782,50056,62946,36515,19010,26738,35938,47905,28144,16046,16109,7811,2164,698,91900,72967,969,326,85567,677,14665,35315,21458,37708,30692,34810,43654,21805,20062,5750,3793,338676,318613,95688,20.8,25979,57853,138268,97281,45314,51619,34486,81.4,19.1,6708492,36417,10013,256648,401095,1409501,362376,707495,368256,147360,259442,54770,190119,124031,221527,121778,1302910,34603,494729,204759,663
MS,3,MS_03,REP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749247,363199,43725,49646,52239,53762,54852,89486,96340,91905,52491,45477,70944,34909,13471,742047,451622,266839,8529,7861,39,7157,16708,577228,151408,3567,92613,1554,277,670,3386,51979,12318,1915,29605,844,478,47174,12416,112,919,1748,486,981,10244,14034,119,4641,957,1037,251,4252,376,36764,731643,114032,651038,42534,32313,2783,17086,1578,264185,266375,1276,3015,4117,6908,24.3,122027,47041,68453,33488,41076,9628,22460,32741,7821,30019,16566,4257,16583,27942,87416,23752,13665,19235,229644,65563,16440,438,334747,7.8,201096,2.65,2.48,68636,57651,67897,36523,21326,26019,36455,45599,33353,30908,30663,15521,7268,1329,125100,97324,1105,320,66188,765,10768,33256,16917,33890,28832,36102,45989,32744,28547,11595,10180,461404,276655,78909,14.3,19211,50868,145184,100773,51199,77074,50714,85.8,25.8,10347802,86075,116967,155909,699411,1191789,675559,994670,449066,264755,823227,142984,633580,231383,297440,137300,2578648,53387,502697,312337,618
MS,4,MS_04,REP,710158,586659,355197,2500,706028,0,4129.75,0,518159,0,0,0,706028,514029,231698,0,768719,375685,49752,48010,53948,56480,50584,98890,92959,97409,47004,52178,72603,36567,12335,754355,548898,185157,2081,10998,1038,6183,32572,478683,258251,8623,98976,2712,762,659,4135,51069,33763,5517,53422,1355,366,65462,22727,200,5528,4707,551,1370,12662,12324,93,2402,3859,543,366,2831,199,60917,750212,141786,643159,56711,32648,1274,29864,7661,254912,265824,792,6892,8985,6665,26.1,103398,60073,69722,37331,45003,8259,24656,33649,5760,36432,16087,3613,15055,23121,71338,45026,14487,18044,243350,54488,16886,803,342627,12.5,191585,2.64,2.61,78961,60557,69727,34374,17913,23646,25051,43428,35922,37933,30299,14064,3704,1184,137900,94205,1159,331,84188,808,9405,28559,18210,35179,28970,43586,49730,33309,31661,8698,7276,470625,283582,97311,13,21554,47699,153451,123320,51952,71097,40872,86.4,22,8756162,32481,71211,245110,660353,1905197,267595,892431,207017,115234,353607,90454,434355,124825,276049,78282,1972358,68900,739649,220745,309
MT,0,MT_00,REP,9426250,8782030,644219,1250000,6667910,2500000,26744.6,79525.5,8655080,0,122725,4220,6545190,8628340,0,0,1050493,526357,61405,64135,65625,64773,70889,132667,125034,123311,72861,79577,114268,55121,20827,1016395,930548,4635,64908,7366,1150,7788,38933,557397,458168,11819,57134,469,9510,11564,18885,117291,34992,8344,257943,2752,3018,138837,36832,1427,87395,21037,2360,8223,15723,29024,1166,1445,28479,6745,2710,11770,687,86787,1036245,142262,883342,83667,32733,3972,18844,2342,306215,388996,3997,25114,11902,33242,18.1,183720,101235,118141,61383,54798,33048,42184,26297,11247,62166,26779,8949,28363,43768,120528,62415,24944,28589,391210,83601,43161,1305,510408,6.1,292585,2.53,2.16,119593,94770,103933,50925,27196,26674,22036,23588,29978,44445,82087,62268,21623,6560,231300,167138,1367,421,119850,759,10656,27449,19463,45882,48223,56441,81565,53046,56488,19798,14736,696514,399586,87709,7.7,16155,34574,203141,170207,65772,157326,76491,93,32.3,14542766,42563,500579,265017,1315895,877199,842636,1603726,646749,427690,977447,201908,974882,308423,751133,146122,3112267,191901,888343,466097,2189
NC,1,NC_01,DEM,723574,807055,560416,0,714116,0,9355.16,103.8,525425,0,0,281630,714116,516070,643896,0,759049,360452,43794,45431,44272,51692,59208,106516,87666,97593,50840,48431,74406,34243,14957,741281,368007,331997,5819,16908,373,18177,61364,498820,194865,9245,70861,5684,1266,905,3046,50715,6406,2373,39048,930,925,35256,12034,947,2779,7087,1678,2047,9932,10457,450,8693,3039,353,637,2346,5600,36901,742189,111585,619756,72439,31352,5453,25599,779,254562,269030,4047,5746,5745,14297,24.4,123076,64536,68669,28204,51742,3766,22286,45200,7000,33156,12528,3690,16645,33365,90947,31949,17693,18002,261593,56359,17992,283,348032,5.5,169524,2.42,2.44,91426,65807,68713,34358,17931,20699,20851,35349,31257,27609,29749,18655,5109,945,145600,101429,1203,401,120438,822,8972,31977,18134,37910,34723,41926,49580,30345,31676,12729,9934,455604,292781,82325,16.2,31178,51930,144632,99163,39325,89398,59026,83.9,28.8,11117774,35897,8453,47444,476339,1734997,405102,745405,280529,233229,727398,109589,887968,394582,318037,1350824,2582720,48040,434004,296232,985
NC,10,NC_10,REP,3520540,3335930,1580410,0,2615620,0,4092.83,270.4,1484160,0,20400,1831370,2595220,1480060,1395810,0,760410,365362,40340,40503,48446,50962,46978,90901,91278,108465,53262,50522,82843,37637,18273,742494,616913,91407,2073,13884,585,17632,50556,492622,224474,5081,125464,682,785,818,7975,75540,12031,2890,92505,1887,1383,73329,18892,632,2842,8482,1535,1752,21630,19808,508,4032,4013,1374,705,4786,1420,46744,752130,113857,653658,54983,25545,1289,20045,561,244355,288512,1506,3732,5753,18973,24.8,114359,61676,83285,33144,62870,1735,20552,65898,9198,45982,17704,5400,17823,34446,67967,36522,21784,10323,293635,36341,24470,888,345300,5.9,200852,2.51,2.32,85068,62491,70816,36977,20498,28975,17553,39758,40816,32988,33616,24018,10481,1622,152800,116454,1092,348,96871,764,7102,22329,17306,41642,32856,45772,57860,35239,30319,11450,10052,487006,286561,78655,10.3,23058,47291,161895,115261,57174,84271,44231,86.8,24.1,10851156,5567,8108,121673,507913,2403479,725686,1012821,401449,205683,325758,107972,414653,336998,458780,181984,2694020,92889,543946,300846,931
NC,11,NC_11,REP,1756480,1058530,906104,0,1731500,0,8974.96,0,916402,83500,20156,38475,1711340,907426,208159,0,759358,373310,35190,40623,43140,46598,39002,80976,89137,103443,54044,57804,100144,48939,20318,746249,687713,26014,12456,8042,497,11527,44887,445859,275071,5389,132392,993,1716,1665,8361,87121,10981,4214,93239,2336,1954,75829,19728,706,4823,9959,617,3287,33870,27361,733,758,5567,1346,2662,5042,435,54959,750598,133879,662274,43315,25098,2294,14684,140,283208,268038,989,4965,4334,21479,22.8,106297,68212,71010,37488,52542,4484,25941,51251,6028,41033,11365,4147,14588,25114,83637,37049,19140,11772,262718,46474,26063,294,402673,6.1,224839,2.44,2.42,72428,61867,80225,42582,22381,25539,21808,34131,37595,41161,46747,28085,12363,2949,169900,117311,1125,311,70497,739,9686,20750,20003,35222,40375,46073,58399,35799,30518,9100,8783,475327,312226,90929,9.7,24900,48359,157609,116836,59031,92536,55534,86.8,26.7,7035166,4548,24438,91670,461594,1932385,360885,835106,155605,112071,216205,77868,212790,69866,223526,92432,1270328,77561,572762,243043,483
NC,12,NC_12,DEM,523190,472067,157978,0,523190,0,0,0,281157,0,202,15708.5,522988,281157,106855,0,860866,413551,58622,60884,54454,54550,59589,155749,131070,115316,49619,37310,53382,21514,8807,833236,397225,324166,4176,47645,440,59584,126903,356735,348918,12582,44493,7087,1574,1301,5858,49020,11744,2583,65122,3977,1644,54924,30654,1002,2229,15900,1962,4237,16084,13866,363,46718,3528,1112,1207,3919,8899,38730,856668,66365,697370,91655,17493,10073,22112,391,191924,346541,13675,10379,7059,34202,26.2,191721,77235,105981,35024,51439,1288,31979,38911,14105,50595,27747,10128,58347,65225,82465,51736,21224,7650,401529,39084,20587,200,359236,6.1,173676,2.66,2.47,127122,79889,74932,26648,9506,11756,4541,15770,33418,34293,38341,29848,14522,2943,197900,137871,1284,439,153975,1073,2202,17439,12787,30730,33546,45201,63556,39802,46464,19327,21001,573739,230969,114080,9.8,31800,29817,109615,120685,44920,161265,74665,89.2,41.2,31590268,7070,8570,804700,1416297,1478631,2563359,1330123,1725799,1356073,7189459,556548,3648237,2033877,1966781,273815,3109576,587258,878317,654197,1581
NC,13,NC_13,REP,2095220,1588550,526263,50000,1915450,70000,4935.15,0,1378700,54000,9500,146100,1905950,1373760,19592.7,0,781657,374081,42834,46516,51484,54034,51157,100486,97227,108402,52279,48640,75837,39127,13634,762898,548521,173692,4452,23501,218,12514,58498,465490,248644,8311,65991,3324,1775,826,7568,65458,12381,2605,96558,1902,754,60832,24418,772,4047,10331,1702,2817,18958,17355,1175,10104,4337,1053,970,4271,3506,44290,774496,98470,655659,64520,28865,2658,24619,304,234656,299399,3089,5871,3749,17695,23.3,132969,64702,84485,28883,62546,2699,20321,61702,12646,46869,20271,3917,20093,36433,82217,39444,17555,9418,309659,42592,20825,509,342405,6.1,195424,2.55,2.41,89690,61361,76777,36227,17759,22655,13496,34768,42775,33387,38571,22238,7937,2252,158400,127032,1149,352,103565,804,5480,19124,17129,33067,34511,45623,58142,37297,34517,13083,11976,520587,275690,73760,10.8,21584,40684,143790,120606,54928,104015,50025,88.4,28.8,16239517,2536,7719,62192,759766,2876985,1252684,1148821,859572,325231,940414,253776,814654,2128190,881565,206918,2534828,233364,574866,374869,567
NC,2,NC_02,REP,2746850,2517410,242911,119200,2654500,0,12151,0,2318240,106600,8862.5,81668,2645640,2306080,13479,0,835806,404944,54321,56673,65957,56565,42934,101083,114404,121041,53638,52535,75567,30497,10591,811863,598492,162920,5892,13693,1028,29838,80171,448248,314469,13225,83713,2581,2134,3478,10266,79455,16030,4437,88899,800,2966,82505,38039,1465,5271,15628,1749,3497,20504,21010,1415,8488,5434,1542,1810,5637,3468,59915,825363,97769,717077,49035,34871,4081,20045,5148,226812,322085,613,2269,3347,30944,28.6,170724,58742,90573,33844,41071,3857,27636,47120,11330,41669,14680,6891,26034,54952,85650,35659,18830,20646,313167,62541,18307,939,326486,5.6,221469,2.78,2.76,77535,66338,83849,39975,17054,13363,13895,20218,32015,35617,52348,48442,16074,2860,214200,160262,1413,418,71068,923,5577,12769,12058,25424,20694,34259,55283,39648,51872,22713,23394,594227,243026,77717,7.7,20431,34507,131365,121588,53682,132615,65168,90.2,35.4,7534389,10531,8605,NULL,648922,1488297,558061,782078,214319,250599,252900,111128,559567,230201,382747,188116,1085179,70874,346979,229187,704
NC,3,NC_03,REP,556220,524048,137316,0,555044,0,976.14,200,515618,0,401,8029.04,554643,514642,105144,0,755647,387187,48428,43753,47678,50730,69510,99709,86608,87520,47006,48257,75557,37297,13594,728242,541366,157555,2061,12166,190,14904,61977,395322,321111,8860,73663,1085,624,1379,8070,83918,15307,2713,75997,2523,2971,76180,26749,635,3815,11733,1074,3148,10636,17809,955,8091,6143,929,916,4205,2654,75626,698793,118167,618325,52345,30427,3217,23509,46802,232574,271674,1458,12819,5113,13742,24.2,99050,66992,67376,34720,34444,7929,22371,27524,5058,37438,12266,4553,13894,26078,72874,31845,16333,24419,217141,63813,20494,1134,384575,13.9,185632,2.5,2.48,84491,62889,67703,36917,17285,18945,19877,28266,34116,35521,36691,22548,7335,1278,161800,111802,1260,391,94554,851,8044,22565,14851,32240,30441,42783,56781,36394,34273,9679,8223,471942,268403,70893,11.8,19178,39478,139052,123730,53511,79128,41471,88.2,24.3,6110199,31685,6048,58085,461187,822603,216529,896974,165975,97553,345466,153684,341192,155327,334019,74244,1204521,45442,482718,215806,1141
NC,4,NC_04,DEM,852852,848264,220151,0,851934,0,918.24,0,566614,0,1000,280650,850934,565696,215563,0,856104,418673,50055,52175,52743,61411,70208,142615,124492,116830,48297,45161,56522,26184,9411,835234,519494,190091,2067,79229,391,43962,92222,365289,334224,15211,72405,6451,1643,2308,6875,75946,16410,3369,83016,2094,2690,73239,37494,1542,5394,17755,3023,8684,16270,20412,1686,22506,7326,1947,2970,5769,4299,35481,848327,69464,674878,89379,39031,9069,16455,770,203358,358629,10763,8989,7846,42267,23.6,241141,66364,98545,31190,31620,1309,27588,36577,9527,43558,16699,13125,38273,85704,113719,40644,21295,20842,376692,71903,19827,438,359141,5,192074,2.6,2.36,126697,75516,73317,31898,12916,10743,6204,4399,20042,32247,49105,51817,25064,3196,264800,142372,1483,484,136399,1110,2614,13338,8098,22403,26179,42783,61491,43835,56900,27336,28724,646088,193494,82642,6.8,22928,22902,82937,90941,38509,177115,134180,92,54.7,27889898,3586,12104,222669,1255882,1003313,3610388,1538846,408697,2262496,2440572,484534,6696122,1135475,1411677,329387,3250693,220423,873606,725676,3752
NC,5,NC_05,REP,2106250,1697280,2836260,0,2106250,0,0,0,1587060,0,5225,100000,2101020,1587060,2411990,0,758376,365398,40254,46486,44563,52850,53195,88068,92506,101933,56978,47221,78432,40534,15356,744096,601715,110370,3055,13900,730,14326,74538,487957,211111,7858,121733,2123,501,1604,6114,67829,10818,1211,77559,1040,1229,55801,15316,397,3857,7290,753,2101,17375,15378,458,2771,3821,1419,856,5116,2618,45002,748784,99551,668393,45257,21164,3344,16618,618,256774,283237,1754,5751,2892,18814,23.3,124071,60586,75951,33887,50688,5317,24513,49624,7375,43647,15356,4091,19738,35411,85394,28948,15314,10455,283366,39831,21035,951,365931,10.9,203756,2.5,2.38,76057,60291,69236,40668,19602,31930,16762,37370,47300,35023,33930,23936,7611,1824,150500,116568,1074,341,86909,713,7119,26358,20463,34816,31856,42877,52289,34982,31206,11000,11937,496729,271142,82319,12.3,26927,46850,145161,111020,48943,92086,50041,85.8,27.3,11971035,5108,12457,59105,807028,1528713,938747,931261,330646,194127,1037842,126580,523112,1386433,405177,652595,2164734,137380,451463,277625,902
NC,6,NC_06,REP,1228750,625065,829269,0,841985,0,9566.74,0,563270,0,2500,59294.9,839485,553704,225583,0,768546,372016,45374,46998,50942,51393,43580,88371,93712,108615,56603,49819,79017,39348,14774,754011,548638,156888,3656,16310,265,28254,82298,496613,206480,8355,63994,920,1669,1161,7885,65271,10186,2279,70085,1074,1481,62104,17689,380,2263,7388,430,1934,18251,14683,424,6912,2760,1551,362,2457,764,44745,760758,106623,677404,41241,22493,3938,19445,930,236518,294533,1105,2497,3024,17025,25.9,116689,57972,79193,39973,63755,4253,30358,66870,9057,38139,19072,4221,16152,29605,83780,27020,16948,12107,285889,48696,22186,811,337512,5.9,207331,2.54,2.43,70508,63244,81637,41099,18182,26121,18302,37997,46692,37165,32193,24028,9407,1547,150800,124077,1135,346,86946,727,6514,19107,18877,35674,31789,45271,55212,36662,33472,13152,11575,493423,273478,82201,10.9,26917,51443,154153,112069,54664,85132,45881,85.2,24.7,7424345,12491,17239,94610,529131,2064756,474148,683742,248011,124809,278099,55666,231322,220856,280067,205749,1368120,45369,294805,194135,1220
NC,7,NC_07,REP,1463400,888435,1243090,0,1458240,0,2457.1,0,759143,0,5277.99,124014,1452960,756686,668129,0,800096,386273,42653,46242,50258,50494,52782,93231,96281,106288,56875,53400,94825,41666,15101,779472,599131,149828,5957,6723,1180,16653,78365,480313,262671,7938,94953,3166,935,1769,4908,70381,13338,3298,71102,1979,2427,66926,32381,856,3364,11240,1081,2383,20591,20354,558,3368,3616,969,750,4674,1039,57029,786803,122353,671024,63811,31988,2241,22041,3389,271328,285737,1529,5077,3177,19564,24,114729,71430,80132,44109,45350,9039,32190,38271,7717,46374,18704,4453,16424,33570,77533,40251,15996,15228,276139,55382,23707,522,395372,5.7,219479,2.52,2.34,88036,69479,80901,39998,18309,21108,25754,37008,38125,33251,39915,30702,11836,2888,160900,126643,1257,393,88665,821,9687,24638,19626,34727,36785,46716,56877,34726,38189,13339,12208,494930,319951,95976,11.9,25731,46458,158221,119977,58172,99164,49944,87.1,26.7,7897197,25943,7012,202353,513451,1293703,425472,955436,195698,215123,387802,132412,429860,320494,323573,77461,1635553,77920,446841,229986,1104
NC,8,NC_08,REP,2342390,1590140,845087,0,2247110,0,47477.7,1000,1520800,0,8044.15,49500,2239070,1473320,92830,0,789484,391974,50897,51705,53177,56462,57375,111581,97232,102329,48577,44444,69499,33680,12526,758653,519725,188055,8537,19751,1627,20958,83182,416069,302626,19803,60535,1993,1456,1009,5362,57882,12135,3243,92800,1283,1601,62611,25545,961,5085,10579,710,2602,19295,18454,599,18017,3258,994,848,3568,5948,71518,749057,108317,652843,61779,24101,6033,23997,31913,227445,297046,3669,11172,4389,19045,25.7,113766,62103,81206,34372,47014,4590,23911,39772,8936,39961,14296,4848,18467,29439,81843,33346,18257,20795,258512,59037,20593,319,344073,6.4,191199,2.68,2.43,94910,59368,67891,35025,16916,21722,11304,33512,41445,33247,38258,24847,7373,1213,162200,121969,1210,373,97759,845,6874,20300,15728,28928,32804,45026,55810,37663,36139,12860,10574,506283,268466,73896,9.6,18538,38324,140980,128281,50255,95014,48476,89.1,27.6,7160870,16751,12221,44059,483793,1010235,307138,897533,195465,137980,218414,95538,390320,122982,343933,115471,1850559,234521,461230,222296,431
NC,9,NC_09,TBD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,788020,385317,48419,51453,58543,57223,45472,92868,103659,112270,56632,45522,71916,32827,11216,768702,519805,143596,59708,23920,861,20812,67505,446602,273175,8367,86738,3920,1143,2416,6328,63354,10866,2948,77118,3287,2277,65471,32644,985,2429,15396,1788,3724,24031,19151,805,6097,5027,1029,2423,4140,1965,45104,776815,96895,680739,52726,24347,2372,17608,1638,241915,292126,2130,3587,3415,23630,26.1,148147,54731,81146,29288,44283,5271,20487,44597,8839,45268,16384,6769,33682,36388,78387,27907,19695,13921,290662,44236,21031,1666,311920,5.1,201361,2.85,2.46,72001,61342,74297,36506,16954,21197,19513,31934,27533,23651,37308,37436,18468,5518,195600,128010,1461,389,72766,830,8170,22140,14277,27259,21340,34435,44674,33874,39612,19747,24939,536470,255284,70590,11.3,21564,41012,131145,107781,45110,115000,65298,88.1,34.2,10416475,31491,12572,124905,669072,1560944,595814,878946,304554,216461,1229836,188003,724387,845742,553859,179701,1509674,75137,406239,307366,1772
ND,0,ND_00,REP,1631800,1435580,196217,300000,1331800,300000,0,0,1434280,0,1300,0,1330500,1434280,0,0,755393,388300,52802,49455,46420,47099,63713,114379,89406,82316,48512,48622,61449,34440,16780,740606,654116,23294,41706,12699,540,8251,26479,469158,248345,6828,22346,2007,13358,7708,7608,29098,29417,6101,284153,614,2294,64015,9523,271,190969,16208,1690,19864,3968,8809,267,8631,28032,1265,3638,2272,714,46221,738177,75801,609017,63752,28684,5873,12307,7106,172732,330690,2137,15495,4925,18763,16.5,151695,71300,89104,48043,46733,37246,31943,28953,15005,46883,18678,4862,22766,25896,102840,35236,15998,20569,313984,62206,28938,1747,374591,12.5,200554,2.47,2.03,107596,74052,60001,33892,18416,22349,20291,23401,26731,32888,52093,34122,9859,1169,194700,109310,1356,434,107867,785,7885,19934,12052,28401,29441,38026,57882,47485,48936,17844,16305,589088,190138,55582,6.1,13936,21087,130900,111306,66236,108045,44394,92.9,30.7,15816748,21665,1489253,332950,1557273,1163216,1296406,1447438,808372,453068,1037420,240139,965723,423857,516376,105284,2817190,85776,650207,404097,1038
NE,1,NE_01,REP,729526,426608,1889890,0,710063,0,5751.06,13712.6,410468,0,1000,15140,709063,404717,1586980,0,648060,325557,43745,43136,42907,46104,57075,86080,77746,74170,41363,38727,56248,28236,12523,630328,573117,18097,7246,18141,625,13102,60138,425866,168827,5368,21064,4061,36715,14182,15409,48081,12074,1742,234455,1160,630,76611,13697,219,12099,20122,309,3441,4408,8619,33,4620,27103,3798,1110,3609,1339,42564,637600,71994,524792,61417,27704,3976,13018,2999,148231,281343,2486,9362,2974,14644,19.5,132193,55189,80212,31011,46247,9740,22571,39122,9795,38707,16826,6152,23525,31663,88782,26428,14809,16732,272577,53648,17866,761,275347,4.9,165589,2.6,2.24,76641,58392,57562,30374,14161,16833,8630,20048,40744,34430,35079,20443,4937,1278,166700,103160,1322,511,83726,794,4648,12492,8283,22281,24740,36616,52249,34566,39909,12786,10041,495984,168251,51087,7.3,13826,17259,107833,94222,49541,87515,44897,92.5,31.9,9547757,9026,32971,15529,713837,1708943,528392,895964,360725,326294,921912,106714,768118,239963,321000,161108,1694405,62997,349449,329928,482
NE,2,NE_02,REP,2511380,1873230,668888,9960.66,2101620,0,21887.2,0,1761860,0,7900,103000,2093720,1739970,30736,0,668800,331333,49876,46476,50417,44536,41317,102530,90814,81733,42920,35270,50586,22446,9879,647250,545230,63758,2743,25037,392,10090,77299,397324,202990,5988,19590,2907,23205,13833,13078,49265,15093,2126,189586,2495,1707,86114,30121,1717,13754,26547,651,3750,5189,9577,224,11503,21687,1924,812,3356,683,36696,660799,72530,549296,66707,18512,5973,13205,1319,144009,291946,3522,6682,4092,15143,19.3,149203,55926,86954,26906,36126,2087,22575,27179,9466,41710,18400,8515,38667,42827,85343,30409,16470,11467,302832,37409,14559,315,273651,7.2,161192,2.73,2.27,84548,61358,59411,27724,11152,12339,5512,17269,36720,34948,37468,22909,5567,799,174900,116609,1493,592,93043,915,2297,13980,8385,19442,19192,33650,49630,35593,42420,17942,16298,497743,167916,55844,6.8,17231,20805,91003,98201,34558,112528,61852,91.3,40,16978160,1682,5984,43262,1082873,1088271,1203236,1154714,556413,688841,3134342,308143,1427802,1299816,853433,302087,2739377,130278,521948,435010,648
NE,3,NE_03,REP,1171030,1528480,818913,0,1166840,0,67.64,4118.98,1004630,0,3700,520150,1163140,1004570,1176370,0,603216,302383,38058,41029,43187,38158,34801,70461,67397,69608,41898,43632,61012,35532,18443,591270,558745,7097,5630,3940,227,15631,72480,415527,151536,3319,22808,148,22622,11511,10701,44546,10062,2375,215756,968,509,63300,8153,195,9408,19355,497,3709,4559,9579,114,1630,25401,1787,380,2761,106,37788,593054,82976,512641,46546,22906,1240,8744,361,155913,240965,859,11227,3825,17089,16.5,98875,50853,63929,41405,53923,29520,21300,38517,10377,35280,22107,4909,13127,14917,73723,19386,13281,12541,236733,44177,27339,736,288542,6.7,173305,2.48,2.19,59739,53407,58085,33607,16582,22575,26843,47034,33959,26271,23255,11058,3706,1179,117100,85059,1109,455,62667,665,8023,12842,11752,28041,25026,37335,49442,35721,28854,8328,6654,441708,188731,49853,7.6,17698,22604,132245,99000,44448,63287,28701,90.1,22.5,7355813,51405,27713,36576,491659,1614624,632947,850207,431069,111735,456841,48815,209270,178314,180085,53846,1435849,44069,273112,226746,931
NH,1,NH_01,DEM,1873090,1214510,658588,13356.8,1869540,0,0,0,1209070,0,3940.5,1500,1865600,1209070,0,0,673194,334237,32399,33449,39439,42519,46492,88703,76519,99043,54615,47694,69306,29314,13702,659803,629671,11036,617,16289,333,1857,23264,285054,340185,9122,26806,7632,1452,1784,8442,115595,88234,61217,58309,9576,2115,153755,70896,2779,5188,26600,10582,4391,6578,28747,603,4455,12125,1289,1453,5207,2635,46677,664842,85721,559904,54765,22308,2818,15157,1964,169343,297286,2735,7054,4740,21125,27.8,158528,58886,86823,30925,37824,2121,26399,43267,9094,46932,12960,8431,27737,45925,86806,34567,15122,13625,301869,46503,24405,209,322515,3.1,182127,2.57,2.13,73041,57115,67156,36579,18459,16729,7187,5195,10239,24518,59099,54926,18460,2503,276400,123487,1909,775,84490,1101,2462,13739,8521,18000,21551,27250,47951,37141,49151,22872,22903,508131,211864,39555,5.8,8622,25117,129387,87197,47779,111604,69190,93,37.8,14549134,5168,7588,210638,880233,1852509,918754,1434003,375893,684078,1798671,233179,1197704,451938,711234,378768,2239274,148811,657999,361314,1378
